run,step,training_hours,cfg_scale,fid
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,10000,4.1402891343471575,2.0,36.9970379569628
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,20000,8.280578268694315,2.0,33.15266846903671
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,30000,12.420867403041473,2.0,31.3112220086893
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,40000,16.56115653738863,2.0,30.582771408458143
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,50000,20.701445671735787,2.0,29.832884518185438
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,60000,24.841734806082947,2.0,29.3972766781161
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,70000,28.982023940430103,2.0,28.90992394401337
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,80000,33.12231307477726,2.0,28.811551822898195
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,90000,37.26260220912442,2.0,28.510777640849426
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,100000,41.40289134347157,2.0,28.513977025727513
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,110000,45.54318047781874,2.0,28.025465530029123
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,120000,49.683469612165894,2.0,28.06808146928114
imagenet64_riesz_frozen_velocity_rms_lr4e4_ps_1,130000,53.82375874651305,2.0,27.91581935321892
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,10000,4.397799028762381,2.0,36.33721754302462
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,20000,8.795598057524762,2.0,32.45360113629653
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,30000,13.193397086287142,2.0,31.002423526891732
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,40000,17.591196115049524,2.0,30.267073678766792
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,50000,21.988995143811906,2.0,29.750881957402953
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,60000,26.386794172574284,2.0,29.34142515045835
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,70000,30.784593201336666,2.0,28.968063356318794
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,80000,35.18239223009905,2.0,28.44963745485711
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,90000,39.580191258861426,2.0,28.358781392418848
imagenet64_riesz_frozen_velocity_rms_lr6e4_ps_1,100000,43.97799028762381,2.0,28.366735442033985
imagenet64_riesz_minyuan_power_top20,10000,,2.0,37.49505527908008
imagenet64_riesz_minyuan_power_top20,20000,,2.0,34.17146410121438
