run,step,cfg_scale,fid
imagenet256_B_riesz_4nodes,2000,1.19,227.3547213239896
imagenet256_B_riesz_4nodes,4000,1.19,56.03493951578184
imagenet256_B_riesz_4nodes,6000,1.19,11.765146945916968
imagenet256_B_riesz_4nodes,8000,1.19,6.804271268233833
imagenet256_B_riesz_4nodes,10000,1.19,5.8718885309448865
imagenet256_B_sinkhorn_4nodes,2000,1.19,301.38804269398605
imagenet256_B_sinkhorn_4nodes,4000,1.19,40.35072255188385
imagenet256_B_sinkhorn_4nodes,6000,1.19,7.564285134799945
imagenet256_B_sinkhorn_4nodes,8000,1.19,4.9290582619004795
imagenet256_B_sinkhorn_4nodes,10000,1.19,4.278401769572895
imagenet256_ablation_drifting_2nodes,10000,1.19,18.206623497944236
imagenet256_ablation_drifting_2nodes,20000,1.19,13.605053082302334
imagenet256_ablation_drifting_2nodes,22000,1.19,13.30619861922986
imagenet256_ablation_drifting_2nodes,24000,1.19,12.868426171483861
imagenet256_ablation_riesz_frozen_velocity_rms_2nodes,2000,1.19,221.99995906241725
